"%s quote(s) confirmed","%s quote(s) confirmed"
"-- Please Select --","-- Please Select --"
"Aantal","Aantal"
"Action","Action"
"Address","Address"
"Already registered? You can login here.","Already registered? You can login here."
"Ask for a Quote","Ask for a Quote"
"Bekijk","Bekijk"
"Bekijk/Bevestig","Bekijk/Bevestig"
"Bevestig offerte","Bevestig offerte"
"Cannot save contact address information","Cannot save contact address information"
"Cannot save contact information","Cannot save contact information"
"Change status to confirmed","Change status to confirmed"
"Change status to pending","Change status to pending"
"City","City"
"Company","Company"
"Confirm Password","Confirm Password"
"Convert to Order","Convert to Order"
"Country","Country"
"Customer Groups Quote Only Option","Customer Groups Quote Only Option"
"Customer Name","Customer Name"
"Date","Date"
"Datum","Datum"
"Details","Details"
"Email Address","Email Address"
"Excl. Tax","Excl. Tax"
"Ext. Prijs","Ext. Prijs"
"Fax","Fax"
"Grand Total","Grand Total"
"Hartelijk dank voor uw offerte aanvraag. Doorgaans krijgt u binnen 24 uur een offerte per mail toegezonden. ","Hartelijk dank voor uw offerte aanvraag. Doorgaans krijgt u binnen 24 uur een offerte per mail toegezonden. "
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid customer data","Invalid customer data"
"Mijn offertes","Mijn offertes"
"Mocht u in de tussentijd al vragen hebben dan horen wij het graag. ","Mocht u in de tussentijd al vragen hebben dan horen wij het graag. "
"My Quotes","My Quotes"
"New Quote","New Quote"
"New Quote Notification","New Quote Notification"
"New Quote Thankyou","New Quote Thankyou"
"Offerte #","Offerte #"
"Offerte #%s - %s","Offerte #%s - %s"
"Offerte aanvragen","Offerte aanvragen"
"Offerte datum: ","Offerte datum: "
"Password","Password"
"Please select a quote","Please select a quote"
"Please select a valid quote status","Please select a valid quote status"
"Please select at least one quote","Please select at least one quote"
"Prijs","Prijs"
"Proceed to Checkout","Proceed to Checkout"
"Product naam","Product naam"
"Product overzicht","Product overzicht"
"Producten","Producten"
"Quote","Quote"
"Quote # %s","Quote # %s"
"Quote with id %s was not found","Quote with id %s was not found"
"Quotes","Quotes"
"Quotes settings","Quotes settings"
"Send Notification Email To","Send Notification Email To"
"Sorry, Checkout is not available, you can only place a quote.","Sorry, Checkout is not available, you can only place a quote."
"State/Province","State/Province"
"Status","Status"
"Status updated for %s quote(s)","Status updated for %s quote(s)"
"Street Address","Street Address"
"Street Address ","Street Address "
"Subtotaal","Subtotaal"
"Telephone","Telephone"
"Terug","Terug"
"The quote has been updated","The quote has been updated"
"The quote must be confirmed in order to be converted to order","The quote must be confirmed in order to be converted to order"
"The quote status has been changed to confirmed","The quote status has been changed to confirmed"
"Totaal","Totaal"
"Totaal: %s","Totaal: %s"
"U heeft nog geen offertes aangevraagd","U heeft nog geen offertes aangevraagd"
"Uw gegevens","Uw gegevens"
"Verder winkelen","Verder winkelen"
"View Quote","View Quote"
"Your Contact Information and your Quote (#%s) have been successfully saved","Your Contact Information and your Quote (#%s) have been successfully saved"
"Zip/Postal Code","Zip/Postal Code"
"open","open"
"pending","pending"
"confirmed","confirmed"
"converted","converted"
